name,gender,country,nationality,disciplines,events,age,has_a_coach,won_a_medal,medal_count
HARTE David,Male,Ireland,Ireland,['Hockey'],['Men'],36,Yes,No,0
IBANEZ DIAZ Javier,Male,Bulgaria,Bulgaria,['Boxing'],"[""Men's 57kg""]",28,No,Yes,1
ROSENOV Radoslav Simeonov,Male,Bulgaria,Bulgaria,['Boxing'],"[""Men's 63.5kg""]",21,No,No,0
KIWAN Rami Mofid,Male,Bulgaria,Bulgaria,['Boxing'],"[""Men's 71kg""]",24,No,No,0
ASVESTA Sofia,Female,Cyprus,Cyprus,['Judo'],['Women -52 kg'],24,Yes,No,0
PETROVA Stanimira,Female,Bulgaria,Bulgaria,['Boxing'],"[""Women's 54kg""]",34,Yes,No,0
STANEVA Svetlana Kamenova,Female,Bulgaria,Bulgaria,['Boxing'],"[""Women's 57kg""]",34,No,No,0
EL BAKKALI Soufiane,Male,Morocco,Morocco,['Athletics'],"[""Men's 3000m Steeplechase""]",28,Yes,Yes,1
TINDOUFT Mohamed,Male,Morocco,Morocco,['Athletics'],"[""Men's 3000m Steeplechase""]",31,No,No,0
TOMOVA Viktoriya,Female,Bulgaria,Bulgaria,['Tennis'],"[""Women's Singles""]",29,Yes,No,0
PORTER Chanice,Female,Jamaica,Jamaica,['Athletics'],"[""Women's Long Jump""]",30,Yes,No,0
ELAIDI Achraf,Male,Morocco,Morocco,['Canoe Sprint'],"[""Men's Kayak Single 1000m""]",22,No,No,0
TYSON Tiger,Male,Antigua and Barbuda,Antigua and Barbuda,['Sailing'],"[""Men's Kite""]",22,Yes,No,0
FARKOUSSI Kaoutar,Female,Morocco,Morocco,['Athletics'],"[""Women's Marathon""]",28,No,No,0
OUTALHA Mohcin,Male,Morocco,Morocco,['Athletics'],"[""Men's Marathon""]",26,No,No,0
BLAKE Ackeem,Male,Jamaica,Jamaica,['Athletics'],"[""Men's 100m"", ""Men's 4 x 100m Relay""]",22,Yes,No,0
EL GOUMRI Othmane,Male,Morocco,Morocco,['Athletics'],"[""Men's Marathon""]",32,No,No,0
GARDADI Fatima Ezzahra,Female,Morocco,Morocco,['Athletics'],"[""Women's Marathon""]",32,Yes,No,0
CISTERNAS Eduardo,Male,Chile,Chile,['Swimming'],"[""Men's 400m Freestyle""]",20,No,No,0
TALBI Zouhair,Male,Morocco,Morocco,['Athletics'],"[""Men's Marathon""]",29,Yes,No,0
KOBRICH Kristel,Female,Chile,Chile,['Swimming'],"[""Women's 1500m Freestyle"", ""Women's 800m Freestyle""]",39,Yes,No,0
