name,gender,country,nationality,disciplines,events,age,has_a_coach,won_a_medal,medal_count
OLIVEIRA Nelson,Male,Portugal,Portugal,['Cycling Road'],"[""Men's Road Race"", ""Men's Individual Time Trial""]",35,No,No,0
COSTA Rui,Male,Portugal,Portugal,['Cycling Road'],"[""Men's Road Race"", ""Men's Individual Time Trial""]",38,No,No,0
LEITAO Iuri,Male,Portugal,Portugal,['Cycling Track'],"[""Men's Madison"", ""Men's Omnium""]",26,Yes,Yes,2
OLIVEIRA Ivo,Male,Portugal,Portugal,['Cycling Track'],"[""Men's Madison""]",28,No,No,0
MARTINS Maria,Female,Portugal,Portugal,['Cycling Track'],"[""Women's Omnium""]",25,Yes,No,0
OLIVEIRA Rui,Male,Portugal,Portugal,['Cycling Track'],"[""Men's Madison"", ""Men's Omnium""]",28,Yes,Yes,1
QUEIROS Raquel,Female,Portugal,Portugal,['Cycling Mountain Bike'],"[""Women's Cross-country""]",24,Yes,No,0
SUAREZ Gabriela Anahi,Female,Ecuador,Ecuador,['Athletics'],"[""Women's 200m""]",23,Yes,No,0
FERNANDEZ Marcelo,Male,Paraguay,Paraguay,['Football'],['Men'],23,Yes,No,0
PEREZ Marcelo,Male,Paraguay,Paraguay,['Football'],['Men'],23,Yes,No,0
DEMPFLE-OLIN Sanoa,Female,Canada,Canada,['Surfing'],['Women'],19,Yes,No,0
ALVAREZ Patricia,Female,Spain,Spain,['Hockey'],['Women'],26,Yes,No,0
AMUNDSON Constanza,Female,Spain,Spain,['Hockey'],['Women'],26,Yes,No,0
BARRIOS Laura,Female,Spain,Spain,['Hockey'],['Women'],24,Yes,No,0
BARRIOS Sara,Female,Spain,Spain,['Hockey'],['Women'],24,Yes,No,0
GARCIA Begona,Female,Spain,Spain,['Hockey'],['Women'],29,Yes,No,0
GINE Xantal,Female,Spain,Spain,['Hockey'],['Women'],32,Yes,No,0
IGLESIAS Belen,Female,Spain,Spain,['Hockey'],['Women'],28,Yes,No,0
JIMENEZ Lucia,Female,Spain,Spain,['Hockey'],['Women'],27,Yes,No,0
LOPEZ Maria,Female,Spain,Spain,['Hockey'],['Women'],34,Yes,No,0
PEREZ Blanca,Female,Spain,Spain,['Hockey'],['Women'],21,Yes,No,0
PEREZ Clara,Female,Spain,Spain,['Hockey'],['Women'],23,Yes,No,0
PEREZ Beatriz,Female,Spain,Spain,['Hockey'],['Women'],33,Yes,No,0
RIERA Lola,Female,Spain,Spain,['Hockey'],['Women'],33,Yes,No,0
SEGU Marta,Female,Spain,Spain,['Hockey'],['Women'],29,No,No,0
STRAPPATO Julia,Female,Spain,Spain,['Hockey'],['Women'],24,Yes,No,0
TORRES-QUEVEDO Alejandra,Female,Spain,Spain,['Hockey'],['Women'],25,Yes,No,0
ALONSO Alejandro,Male,Spain,Spain,['Hockey'],['Men'],25,Yes,No,0
BASTERRA Jose Maria,Male,Spain,Spain,['Hockey'],['Men'],27,Yes,No,0
BONASTRE Jordi,Male,Spain,Spain,['Hockey'],['Men'],24,Yes,No,0
CALZADO Luis,Male,Spain,Spain,['Hockey'],['Men'],24,Yes,No,0
CLAPES Gerard,Male,Spain,Spain,['Hockey'],['Men'],24,Yes,No,0
CUNILL Pepe,Male,Spain,Spain,['Hockey'],['Men'],23,Yes,No,0
de IGNACIO-SIMO Eduard,Male,Spain,Spain,['Hockey'],['Men'],24,Yes,No,0
FONT Bruno,Male,Spain,Spain,['Hockey'],['Men'],20,Yes,No,0
GISPERT Xavier,Male,Spain,Spain,['Hockey'],['Men'],25,Yes,No,0
IGLESIAS Alvaro,Male,Spain,Spain,['Hockey'],['Men'],31,Yes,No,0
LACALLE Borja,Male,Spain,Spain,['Hockey'],['Men'],23,Yes,No,0
MENINI Joaquin,Male,Spain,Spain,['Hockey'],['Men'],33,Yes,No,0
MIRALLES Marc,Male,Spain,Spain,['Hockey'],['Men'],27,Yes,No,0
RECASENS Marc,Male,Spain,Spain,['Hockey'],['Men'],25,Yes,No,0
REYNE Marc,Male,Spain,Spain,['Hockey'],['Men'],25,Yes,No,0
RODRIGUEZ Ignacio,Male,Spain,Spain,['Hockey'],['Men'],28,Yes,No,0
VILALLONGA Rafael,Male,Spain,Spain,['Hockey'],['Men'],23,Yes,No,0
VIZCAINO Marc,Male,Spain,Spain,['Hockey'],['Men'],25,No,No,0
PEREZ GRASSET Macarena,Female,Chile,Chile,['Cycling BMX Freestyle'],"[""Women's Park""]",28,No,No,0
MOLINA VERGARA Mauricio,Male,Chile,Chile,['Cycling BMX Racing'],['Men'],23,No,No,0
BURGHER Niesha,Female,Jamaica,Jamaica,['Athletics'],"[""Women's 200m""]",22,Yes,No,0
van BERKEL Lucas,Male,Canada,Canada,['Volleyball'],['Men'],33,Yes,No,0
LUI Justin,Male,Canada,Canada,['Volleyball'],['Men'],24,Yes,No,0
WALSH Brett James,Male,Canada,Canada,['Volleyball'],['Men'],30,Yes,No,0
HOFER Brodie,Male,Canada,Canada,['Volleyball'],['Men'],24,Yes,No,0
SZWARC Arthur,Male,Canada,Canada,['Volleyball'],['Men'],29,Yes,No,0
DEMYANENKO Danny,Male,Canada,Canada,['Volleyball'],['Men'],30,Yes,No,0
HOAG Nicholas,Male,Canada,Canada,['Volleyball'],['Men'],32,Yes,No,0
HERR Luke,Male,Canada,Canada,['Volleyball'],['Men'],30,Yes,No,0
KETRZYNSKI Xander,Male,Canada,Canada,['Volleyball'],['Men'],24,Yes,No,0
LOEPPKY Eric,Male,Canada,Canada,['Volleyball'],['Men'],26,Yes,No,0
MAAR Stephen Timothy,Male,Canada,Canada,['Volleyball'],['Men'],30,Yes,No,0
BARNES Ryley Brendan,Male,Canada,Canada,['Volleyball'],['Men'],31,Yes,No,0
McCARTHY Fynnian Lionel,Male,Canada,Canada,['Volleyball'],['Men'],25,Yes,No,0
VIDAURRE KOSSMANN Martin,Male,Chile,Chile,['Cycling Mountain Bike'],"[""Men's Cross-country""]",24,Yes,No,0
SOTO CAMPOS Catalina,Female,Chile,Chile,['Cycling Road'],"[""Women's Road Race""]",23,No,No,0
SEPULVEDA Eduardo,Male,Argentina,Argentina,['Cycling Road'],"[""Men's Road Race""]",33,No,No,0
HELLVIG Jonatan,Male,Sweden,Sweden,['Beach Volleyball'],['Men'],23,Yes,Yes,1
AHMAN David,Male,Sweden,Sweden,['Beach Volleyball'],['Men'],23,Yes,Yes,1
de BRUIN Marlize,Female,South Africa,South Africa,['Rugby Sevens'],['Women'],30,Yes,No,0
LATEGAN Liske,Female,South Africa,South Africa,['Rugby Sevens'],['Women'],26,Yes,No,0
MALINGA Ayanda,Female,South Africa,South Africa,['Rugby Sevens'],['Women'],26,Yes,No,0
MPUPHA Zintle,Female,South Africa,South Africa,['Rugby Sevens'],['Women'],31,Yes,No,0
ROOS Nadine,Female,South Africa,South Africa,['Rugby Sevens'],['Women'],28,Yes,No,0
SIMMERS Mathrin,Female,South Africa,South Africa,['Rugby Sevens'],['Women'],36,Yes,No,0
BALOYI Kemisetso,Female,South Africa,South Africa,['Rugby Sevens'],['Women'],26,Yes,No,0
LAMPRECHT Shiniqwa,Female,South Africa,South Africa,['Rugby Sevens'],['Women'],21,No,No,0
TSHIREMBA Maria,Female,South Africa,South Africa,['Rugby Sevens'],['Women'],29,Yes,No,0
JANSE van RENSBURG Libbie,Female,South Africa,South Africa,['Rugby Sevens'],['Women'],30,Yes,No,0
DOLF Byrhandre,Female,South Africa,South Africa,['Rugby Sevens'],['Women'],21,Yes,No,0
GRAIN Veroeshka,Female,South Africa,South Africa,['Rugby Sevens'],['Women'],34,Yes,No,0
SOLONTSI Sizophila,Female,South Africa,South Africa,['Rugby Sevens'],['Women'],32,Yes,No,0
FUERTES FERNANDEZ Laura,Female,Spain,Spain,['Boxing'],"[""Women's 50kg""]",25,Yes,No,0
GHADFA DRISSI EL AISSAOUI Ayoub,Male,Spain,Spain,['Boxing'],"[""Men's +92kg""]",26,Yes,Yes,1
IBARRECHE CONDE Oier,Male,Spain,Spain,['Boxing'],"[""Men's 63.5kg""]",21,No,No,0
LOZANO SERRANO Rafael,Male,Spain,Spain,['Boxing'],"[""Men's 51kg""]",20,Yes,No,0
QUILES BROTONS Jose,Male,Spain,Spain,['Boxing'],"[""Men's 57kg""]",27,Yes,No,0
REYES PLA Enmanuel,Male,Spain,Spain,['Boxing'],"[""Men's 92kg""]",32,Yes,Yes,1
INOSTROZA Arantza,Female,Chile,Chile,['Fencing'],"[""Women's Foil Individual""]",24,No,No,0
FERNANDEZ Gatito,Male,Paraguay,Paraguay,['Football'],['Men'],36,Yes,No,0
FRUTOS Rodrigo,Male,Paraguay,Paraguay,['Football'],['Men'],21,Yes,No,0
LAMBERT Margot,Female,France,France,['Badminton'],"[""Women's Doubles""]",25,No,No,0
TRAN Anne,Female,France,France,['Badminton'],"[""Women's Doubles""]",28,No,No,0
DELRUE Delphine,Female,France,France,['Badminton'],['Mixed Doubles'],26,No,No,0
QI Xuefei,Female,France,France,['Badminton'],"[""Women's Singles""]",32,No,No,0
CORVEE Lucas,Male,France,France,['Badminton'],"[""Men's Doubles""]",31,No,No,0
LABAR Ronan,Male,France,France,['Badminton'],"[""Men's Doubles""]",35,No,No,0
POPOV Toma Junior,Male,France,France,['Badminton'],"[""Men's Doubles"", ""Men's Singles""]",26,No,No,0
POPOV Christo,Male,France,France,['Badminton'],"[""Men's Doubles""]",22,Yes,No,0
GICQUEL Thom,Male,France,France,['Badminton'],['Mixed Doubles'],25,No,No,0
de JESUS Ronaldo,Male,Paraguay,Paraguay,['Football'],['Men'],23,Yes,No,0
NIEMANN Joaquin,Male,Chile,Chile,['Golf'],"[""Men's Individual Stroke Play""]",26,No,No,0
PEREIRA Mito,Male,Chile,Chile,['Golf'],"[""Men's Individual Stroke Play""]",29,No,No,0
SSENGONZI Jesse Ssuubi,Male,Uganda,Uganda,['Swimming'],"[""Men's 100m Butterfly""]",22,No,No,0
MUZITO Gloria Anna,Female,Uganda,Uganda,['Swimming'],"[""Women's 100m Freestyle""]",22,Yes,No,0
VIERA Wilder,Male,Paraguay,Paraguay,['Football'],['Men'],22,Yes,No,0
PAQUET Charles,Male,Canada,Canada,['Triathlon'],"[""Men's Individual""]",27,No,No,0
MISLAWCHUK Tyler,Male,Canada,Canada,['Triathlon'],"[""Men's Individual""]",30,No,No,0
LEGAULT Emy,Female,Canada,Canada,['Triathlon'],"[""Women's Individual""]",28,Yes,No,0
ACOSTA FERNANDEZ Yasmani,Male,Chile,Chile,['Wrestling'],"[""Men's Greco-Roman 130kg""]",36,No,Yes,1
ALMANZA TRUYOL Nestor Evian,Male,Chile,Chile,['Wrestling'],"[""Men's Greco-Roman 67kg""]",22,No,No,0
ABAROA Cesar,Male,Chile,Chile,['Rowing'],"[""Lightweight Men's Double Sculls""]",28,No,No,0
SANHUEZA Eber,Male,Chile,Chile,['Rowing'],"[""Lightweight Men's Double Sculls""]",26,No,No,0
ABRAHAM Antonia,Female,Chile,Chile,['Rowing'],"[""Women's Pair""]",27,No,No,0
ABRAHAM Melita,Female,Chile,Chile,['Rowing'],"[""Women's Pair""]",27,No,No,0
TEJEDA Gladys,Female,Peru,Peru,['Athletics'],"[""Women's Marathon""]",39,Yes,No,0
ROJAS Luz Mery,Female,Peru,Peru,['Athletics'],"[""Women's Marathon""]",31,Yes,No,0
ABUZHAKYNOVA Abiba,Female,Kazakhstan,Kazakhstan,['Judo'],"['Women -48 kg', 'Mixed Team']",27,Yes,No,0
BERLIKASH Kamila,Female,Kazakhstan,Kazakhstan,['Judo'],"['Women +78 kg', 'Mixed Team']",25,No,No,0
KUYULOVA Esmigul,Female,Kazakhstan,Kazakhstan,['Judo'],"['Women -63 kg', 'Mixed Team']",22,Yes,No,0
SMETOV Yeldos,Male,Kazakhstan,Kazakhstan,['Judo'],"['Men -60 kg', 'Mixed Team']",32,No,Yes,1
KYRGYZBAYEV Gusman,Male,Kazakhstan,Kazakhstan,['Judo'],"['Men -66 kg', 'Mixed Team']",32,Yes,Yes,1
SHAMSHAYEV Daniyar,Male,Kazakhstan,Kazakhstan,['Judo'],"['Men -73 kg', 'Mixed Team']",23,Yes,No,0
ZHUBANAZAR Abylaikhan,Male,Kazakhstan,Kazakhstan,['Judo'],"['Men -81 kg', 'Mixed Team']",24,No,No,0
SHARKHAN Nurlykhan,Male,Kazakhstan,Kazakhstan,['Judo'],"['Men -100 kg', 'Mixed Team']",24,Yes,No,0
BROVKOVA Mariya,Female,Kazakhstan,Kazakhstan,['Canoe Sprint'],"[""Women's Canoe Single 200m"", ""Women's Canoe Double 500m""]",19,No,No,0
YEMELYANOV Sergey,Male,Kazakhstan,Kazakhstan,['Canoe Sprint'],"[""Men's Canoe Single 1000m"", ""Men's Canoe Double 500m""]",29,Yes,No,0
RAMATULLA Bekarys,Male,Kazakhstan,Kazakhstan,['Canoe Sprint'],"[""Men's Kayak Single 1000m"", ""Men's Kayak Double 500m""]",22,Yes,No,0
TOKARNYTSKYI Sergii,Male,Kazakhstan,Kazakhstan,['Canoe Sprint'],"[""Men's Kayak Double 500m""]",31,No,No,0
KHAIDAROV Timur,Male,Kazakhstan,Kazakhstan,['Canoe Sprint'],"[""Men's Canoe Double 500m""]",28,Yes,No,0
ISKAKOVA Rufina,Female,Kazakhstan,Kazakhstan,['Canoe Sprint'],"[""Women's Canoe Double 500m""]",21,No,No,0
PACHECO Christian,Male,Peru,Peru,['Athletics'],"[""Men's Marathon""]",31,Yes,No,0
RENDON MARTINEZ Ana,Female,Colombia,Colombia,['Archery'],"[""Women's Individual"", 'Mixed Team']",38,Yes,No,0
EZE Joy Ogbonne,Female,Nigeria,Nigeria,['Weightlifting'],"[""Women's 71kg""]",20,No,No,0
GOMEZ Paula,Female,Chile,Chile,['Canoe Sprint'],"[""Women's Canoe Double 500m""]",23,No,No,0
MAILLIARD Maria Jose,Female,Chile,Chile,['Canoe Sprint'],"[""Women's Canoe Single 200m"", ""Women's Canoe Double 500m""]",33,Yes,No,0
LAWAL Rafiatu Folashade,Female,Nigeria,Nigeria,['Weightlifting'],"[""Women's 59kg""]",28,No,No,0
GARCIA LEON Kimberly,Female,Peru,Peru,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",31,Yes,No,0
INGA Evelyn,Female,Peru,Peru,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",26,Yes,No,0
ROCO Karen,Female,Chile,Chile,['Canoe Sprint'],"[""Women's Canoe Single 200m""]",38,No,No,0
ANDIA Mary Luz,Female,Peru,Peru,['Athletics'],"[""Women's 20km Race Walk""]",24,Yes,No,0
CASTILLO Ines Lucia,Female,Peru,Peru,['Badminton'],"[""Women's Singles""]",25,No,No,0
RODRIGUEZ Cesar Augusto,Male,Peru,Peru,['Athletics'],"[""Men's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",27,Yes,No,0
CAMPOS Luis Henry,Male,Peru,Peru,['Athletics'],"[""Men's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",29,Yes,No,0
SYZDYKOV Alimkhan,Male,Kazakhstan,Kazakhstan,['Wrestling'],"[""Men's Greco-Roman 130kg""]",30,No,No,0
TURSYNOV Nursultan,Male,Kazakhstan,Kazakhstan,['Wrestling'],"[""Men's Greco-Roman 87kg""]",33,Yes,No,0
SULTANGALI Aidos,Male,Kazakhstan,Kazakhstan,['Wrestling'],"[""Men's Greco-Roman 60kg""]",28,Yes,No,0
BURGOS Nicolas,Male,Chile,Chile,['Table Tennis'],"[""Men's Singles""]",23,No,No,0
VALDIVIA Thalia,Female,Peru,Peru,['Athletics'],"[""Women's Marathon""]",28,Yes,No,0
THOMAS Lanae-Tava,Female,Jamaica,Jamaica,['Athletics'],"[""Women's 200m""]",23,Yes,No,0
PALACIOS Alessia,Female,Peru,Peru,['Rowing'],"[""Lightweight Women's Double Sculls""]",24,Yes,No,0
YOUNG Charokee,Female,Jamaica,Jamaica,['Athletics'],"[""Women's 4 x 400m Relay""]",24,Yes,No,0
PALACIOS Valeria,Female,Peru,Peru,['Rowing'],"[""Lightweight Women's Double Sculls""]",24,Yes,No,0
SANGUINETI Adriana,Female,Peru,Peru,['Rowing'],"[""Women's Single Sculls""]",24,Yes,No,0
ARCILA Santiago,Male,Colombia,Colombia,['Archery'],"[""Men's Individual"", ""Men's Team"", 'Mixed Team']",25,Yes,No,0
HERNANDEZ VERA Andres,Male,Colombia,Colombia,['Archery'],"[""Men's Individual"", ""Men's Team""]",17,Yes,No,0
BARAJAS Angel,Male,Colombia,Colombia,['Artistic Gymnastics'],"['Men', ""Men's Horizontal Bar"", ""Men's Parallel Bars""]",18,Yes,Yes,1
ABAD Nestor,Male,Spain,Spain,['Artistic Gymnastics'],"['Men', ""Men's All-Around"", ""Men's Floor Exercise"", ""Men's Horizontal Bar"", ""Men's Parallel Bars"", ""Men's Pommel Horse"", ""Men's Rings"", ""Men's Vault"", ""Men's Team""]",31,Yes,No,0
CASABUENA Laura,Female,Spain,Spain,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",19,Yes,No,0
DIALLO Thierno,Male,Spain,Spain,['Artistic Gymnastics'],"['Men', ""Men's Floor Exercise"", ""Men's Horizontal Bar"", ""Men's Parallel Bars"", ""Men's Pommel Horse"", ""Men's Rings"", ""Men's Vault"", ""Men's Team""]",24,Yes,No,0
MIR Nicolau,Male,Spain,Spain,['Artistic Gymnastics'],"['Men', ""Men's All-Around"", ""Men's Floor Exercise"", ""Men's Horizontal Bar"", ""Men's Parallel Bars"", ""Men's Pommel Horse"", ""Men's Rings"", ""Men's Vault"", ""Men's Team""]",24,Yes,No,0
PEREZ Ana,Female,Spain,Spain,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",27,Yes,No,0
PETISCO Alba,Female,Spain,Spain,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",21,Yes,No,0
PLATA Joel,Male,Spain,Spain,['Artistic Gymnastics'],"['Men', ""Men's All-Around"", ""Men's Floor Exercise"", ""Men's Horizontal Bar"", ""Men's Parallel Bars"", ""Men's Pommel Horse"", ""Men's Rings"", ""Men's Vault"", ""Men's Team""]",26,Yes,No,0
ZAPATA Rayderley,Male,Spain,Spain,['Artistic Gymnastics'],"['Men', ""Men's Floor Exercise"", ""Men's Horizontal Bar"", ""Men's Parallel Bars"", ""Men's Pommel Horse"", ""Men's Rings"", ""Men's Vault"", ""Men's Team""]",31,Yes,No,0
ARNAU CAMARENA Ana,Female,Spain,Spain,['Rhythmic Gymnastics'],['Group All-Around'],19,Yes,No,0
BAUTISTA Alba,Female,Spain,Spain,['Rhythmic Gymnastics'],['Individual All-Around'],22,Yes,No,0
BEREZINA Polina,Female,Spain,Spain,['Rhythmic Gymnastics'],['Individual All-Around'],27,Yes,No,0
BERGUA NAVALES Ines,Female,Spain,Spain,['Rhythmic Gymnastics'],['Group All-Around'],20,Yes,No,0
MARTINEZ Mireia,Female,Spain,Spain,['Rhythmic Gymnastics'],['Group All-Around'],19,Yes,No,0
PEREZ FOS Patricia,Female,Spain,Spain,['Rhythmic Gymnastics'],['Group All-Around'],20,Yes,No,0
SOLAUN Salma,Female,Spain,Spain,['Rhythmic Gymnastics'],['Group All-Around'],19,Yes,No,0
ROMERO ROSARIO Noemi,Female,Spain,Spain,['Trampoline Gymnastics'],['Women'],24,Yes,No,0
VEGA David,Male,Spain,Spain,['Trampoline Gymnastics'],['Men'],26,Yes,No,0
WEITZEIL Abbey,Female,United States of America,United States of America,['Swimming'],"[""Women's 4 x 100m Freestyle Relay"", 'Relay Only Athlete', 'Mixed 4 x 100m Medley Relay']",28,Yes,Yes,2
ALEXY Jack,Male,United States of America,United States of America,['Swimming'],"[""Men's 100m Freestyle"", ""Men's 4 x 100m Freestyle Relay"", ""Men's 4 x 100m Medley Relay""]",21,Yes,Yes,2
ARMSTRONG Hunter,Male,United States of America,United States of America,['Swimming'],"[""Men's 100m Backstroke"", ""Men's 4 x 100m Freestyle Relay"", ""Men's 4 x 100m Medley Relay""]",23,Yes,Yes,2
BACON Phoebe,Female,United States of America,United States of America,['Swimming'],"[""Women's 200m Backstroke""]",22,Yes,No,0
BERKOFF Katharine,Female,United States of America,United States of America,['Swimming'],"[""Women's 100m Backstroke"", ""Women's 4 x 100m Medley Relay""]",23,Yes,Yes,2
CONNOLLY Erika,Female,United States of America,United States of America,['Swimming'],"[""Women's 4 x 100m Freestyle Relay"", 'Relay Only Athlete']",26,Yes,Yes,1
CASAS Shaine,Male,United States of America,United States of America,['Swimming'],"[""Men's 200m Individual Medley""]",25,Yes,No,0
CURRY Brooks,Male,United States of America,United States of America,['Swimming'],"[""Men's 4 x 200m Freestyle Relay"", 'Relay Only Athlete']",23,Yes,Yes,1
DENIGAN Mariah,Female,United States of America,United States of America,['Marathon Swimming'],"[""Women's 10km""]",21,Yes,No,0
DOUGLASS Kate,Female,United States of America,United States of America,['Swimming'],"[""Women's 200m Breaststroke"", ""Women's 200m Individual Medley"", ""Women's 4 x 100m Freestyle Relay"", ""Women's 4 x 100m Medley Relay""]",23,Yes,Yes,4
DRESSEL Caeleb,Male,United States of America,United States of America,['Swimming'],"[""Men's 100m Butterfly"", ""Men's 4 x 100m Freestyle Relay"", ""Men's 4 x 100m Medley Relay"", ""Men's 50m Freestyle"", 'Mixed 4 x 100m Medley Relay']",28,Yes,Yes,3
FALLON Matt,Male,United States of America,United States of America,['Swimming'],"[""Men's 200m Breaststroke""]",22,Yes,No,0
FINK Nic,Male,United States of America,United States of America,['Swimming'],"[""Men's 100m Breaststroke"", ""Men's 4 x 100m Medley Relay"", 'Mixed 4 x 100m Medley Relay']",31,Yes,Yes,3
FINKE Bobby,Male,United States of America,United States of America,['Swimming'],"[""Men's 1500m Freestyle"", ""Men's 800m Freestyle""]",25,Yes,Yes,2
FOSTER Carson,Male,United States of America,United States of America,['Swimming'],"[""Men's 200m Individual Medley"", ""Men's 400m Individual Medley"", ""Men's 4 x 200m Freestyle Relay""]",23,Yes,Yes,2
GEMMELL Erin,Female,United States of America,United States of America,['Swimming'],"[""Women's 200m Freestyle"", ""Women's 4 x 200m Freestyle Relay""]",20,Yes,Yes,1
GRIMES Katie,Female,United States of America,United States of America,"['Marathon Swimming', 'Swimming']","[""Women's 10km"", ""Women's 1500m Freestyle"", ""Women's 400m Individual Medley""]",18,Yes,Yes,1
GUILIANO Chris,Male,United States of America,United States of America,['Swimming'],"[""Men's 100m Freestyle"", ""Men's 200m Freestyle"", ""Men's 4 x 100m Freestyle Relay"", ""Men's 4 x 200m Freestyle Relay"", ""Men's 50m Freestyle""]",21,Yes,Yes,2
HEILMAN Thomas,Male,United States of America,United States of America,['Swimming'],"[""Men's 100m Butterfly"", ""Men's 200m Butterfly"", ""Men's 4 x 100m Medley Relay""]",17,Yes,Yes,1
HELD Ryan,Male,United States of America,United States of America,['Swimming'],"[""Men's 4 x 100m Freestyle Relay"", 'Relay Only Athlete']",29,Yes,Yes,1
HOBSON Luke,Male,United States of America,United States of America,['Swimming'],"[""Men's 200m Freestyle"", ""Men's 4 x 200m Freestyle Relay""]",21,Yes,Yes,2
HUSKE Torri,Female,United States of America,United States of America,['Swimming'],"[""Women's 100m Butterfly"", ""Women's 100m Freestyle"", ""Women's 4 x 100m Freestyle Relay"", ""Women's 4 x 100m Medley Relay"", 'Mixed 4 x 100m Medley Relay']",22,Yes,Yes,5
JOHNSTON David,Male,United States of America,United States of America,['Swimming'],"[""Men's 1500m Freestyle""]",23,Yes,No,0
JONES Keaton,Male,United States of America,United States of America,['Swimming'],"[""Men's 200m Backstroke""]",20,Yes,No,0
KALISZ Chase,Male,United States of America,United States of America,['Swimming'],"[""Men's 400m Individual Medley""]",30,Yes,No,0
KIBLER Drew,Male,United States of America,United States of America,['Swimming'],"[""Men's 4 x 200m Freestyle Relay"", 'Relay Only Athlete']",24,Yes,Yes,1
KING Lilly,Female,United States of America,United States of America,['Swimming'],"[""Women's 100m Breaststroke"", ""Women's 200m Breaststroke"", ""Women's 4 x 100m Medley Relay""]",27,Yes,Yes,1
KING Matt,Male,United States of America,United States of America,['Swimming'],"[""Men's 4 x 100m Freestyle Relay"", 'Relay Only Athlete']",22,Yes,Yes,1
LEDECKY Katie,Female,United States of America,United States of America,['Swimming'],"[""Women's 1500m Freestyle"", ""Women's 400m Freestyle"", ""Women's 4 x 200m Freestyle Relay"", ""Women's 800m Freestyle""]",27,Yes,Yes,4
MADDEN Paige,Female,United States of America,United States of America,['Swimming'],"[""Women's 400m Freestyle"", ""Women's 4 x 200m Freestyle Relay"", ""Women's 800m Freestyle""]",26,Yes,Yes,2
MANUEL Simone,Female,United States of America,United States of America,['Swimming'],"[""Women's 4 x 100m Freestyle Relay"", ""Women's 4 x 200m Freestyle Relay"", ""Women's 50m Freestyle""]",28,Yes,Yes,2
MATHENY Josh,Male,United States of America,United States of America,['Swimming'],"[""Men's 200m Breaststroke""]",22,Yes,No,0
MURPHY Ryan,Male,United States of America,United States of America,['Swimming'],"[""Men's 100m Backstroke"", ""Men's 200m Backstroke"", ""Men's 4 x 100m Medley Relay"", 'Mixed 4 x 100m Medley Relay']",29,Yes,Yes,3
PEPLOWSKI Anna,Female,United States of America,United States of America,['Swimming'],"[""Women's 4 x 200m Freestyle Relay"", 'Relay Only Athlete']",22,Yes,Yes,1
PIERONI Blake,Male,United States of America,United States of America,['Swimming'],"[""Men's 4 x 200m Freestyle Relay"", 'Relay Only Athlete']",29,Yes,Yes,1
PUSKOVITCH Ivan,Male,United States of America,United States of America,['Marathon Swimming'],"[""Men's 10km""]",23,Yes,No,0
SHACKELL Aaron,Male,United States of America,United States of America,['Swimming'],"[""Men's 400m Freestyle""]",20,Yes,No,0
SHACKELL Alex,Female,United States of America,United States of America,['Swimming'],"[""Women's 200m Butterfly"", ""Women's 4 x 100m Medley Relay"", ""Women's 4 x 200m Freestyle Relay""]",18,Yes,Yes,2
SMITH Kieran,Male,United States of America,United States of America,['Swimming'],"[""Men's 400m Freestyle"", ""Men's 4 x 200m Freestyle Relay""]",24,Yes,Yes,1
SMITH Regan,Female,United States of America,United States of America,['Swimming'],"[""Women's 100m Backstroke"", ""Women's 200m Backstroke"", ""Women's 200m Butterfly"", ""Women's 4 x 100m Medley Relay"", 'Mixed 4 x 100m Medley Relay']",22,Yes,Yes,5
SWANSON Charlie,Male,United States of America,United States of America,['Swimming'],"[""Men's 100m Breaststroke"", ""Men's 4 x 100m Medley Relay"", 'Mixed 4 x 100m Medley Relay']",26,Yes,Yes,2
URLANDO Luca,Male,United States of America,United States of America,['Swimming'],"[""Men's 200m Butterfly""]",22,No,No,0
WALSH Alex,Female,United States of America,United States of America,['Swimming'],"[""Women's 200m Individual Medley""]",23,Yes,No,0
WALSH Gretchen,Female,United States of America,United States of America,['Swimming'],"[""Women's 100m Butterfly"", ""Women's 100m Freestyle"", ""Women's 4 x 100m Freestyle Relay"", ""Women's 4 x 100m Medley Relay"", ""Women's 50m Freestyle"", 'Mixed 4 x 100m Medley Relay']",21,Yes,Yes,4
WEBER Emma,Female,United States of America,United States of America,['Swimming'],"[""Women's 100m Breaststroke"", ""Women's 4 x 100m Medley Relay""]",20,Yes,Yes,1
WEINSTEIN Claire,Female,United States of America,United States of America,['Swimming'],"[""Women's 200m Freestyle"", ""Women's 4 x 200m Freestyle Relay""]",17,Yes,Yes,1
WEYANT Emma,Female,United States of America,United States of America,['Swimming'],"[""Women's 400m Individual Medley""]",23,Yes,Yes,1
